,gameid,date,blue_team,blue_top,blue_jg,blue_mid,blue_adc,blue_supp,red_team,red_top,red_jg,red_mid,red_adc,red_supp,winner
339,ESPORTSTMNT05_2942470,2022-07-16 06:48:26,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,Blue
340,ESPORTSTMNT05_2942491,2022-07-16 08:51:09,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Red
341,ESPORTSTMNT05_2942496,2022-07-16 09:46:51,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
342,ESPORTSTMNT05_2942515,2022-07-16 11:36:57,DRX,Kingen,Juhan,Zeka,Deft,BeryL,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
343,ESPORTSTMNT05_2942806,2022-07-17 07:17:05,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,Blue
344,ESPORTSTMNT05_2942826,2022-07-17 08:37:22,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Red
345,ESPORTSTMNT05_2942832,2022-07-17 09:28:58,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Nongshim RedForce,Canna,Sylvie,Bdd,Ghost,SnowFlower,Blue
346,ESPORTSTMNT05_2942869,2022-07-17 11:37:36,Nongshim RedForce,Canna,Sylvie,Bdd,Ghost,SnowFlower,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Red
347,ESPORTSTMNT05_2980201,2022-07-20 08:06:00,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,DRX,Kingen,Juhan,Zeka,Deft,BeryL,Blue
348,ESPORTSTMNT05_2980212,2022-07-20 09:05:00,DRX,Kingen,Juhan,Zeka,Deft,BeryL,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,Blue
349,ESPORTSTMNT05_2980213,2022-07-20 09:59:00,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Red
350,ESPORTSTMNT05_2980216,2022-07-20 11:49:00,Nongshim RedForce,Canna,Dread,Bdd,Ghost,SnowFlower,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Red
351,ESPORTSTMNT05_2980240,2022-07-20 13:47:59,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Red
352,ESPORTSTMNT05_2990357,2022-07-21 06:43:48,T1,Zeus,Oner,Faker,Gumayusi,Keria,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,Red
353,ESPORTSTMNT05_2990375,2022-07-21 08:39:36,T1,Zeus,Oner,Faker,Gumayusi,Keria,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,Blue
354,ESPORTSTMNT05_2990380,2022-07-21 09:35:25,T1,Zeus,Oner,Faker,Gumayusi,Keria,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,Blue
